,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
39988,5.92,89.18,3834,1.64,eskew,182.0,0.96,0
9420,0.38,94.54,3700,2.7,bechtold,182.0,1.35,0
14686,2.26,93.93,6644,1.64,bordelon,183.0,0.86,0
84358,9.44,85.64,3378,2.1,mardis,183.0,1.24,0
33906,0.0,95.63,4487,2.45,digiovanni,183.0,0.47,0
29736,10.79,83.87,4420,1.97,danley,184.0,1.1100000000000000,0
135931,2.06,92.65,3400,2.21,towery,184.0,1.47,0
27248,9.22,84.41,3862,2.36,coursey,184.0,1.69,0
12232,0.36,93.21,3091,2.43,bilyeu,186.0,1.78,0
129516,0.5,94.7,3205,1.68,stotler,186.0,1.56,0
97963,5.3,89.41,3984,1.86,odle,186.0,1.43,0
67215,2.21,93.61,5260,2.07,kaylor,188.0,0.78,0
127277,23.06,71.52,3434,2.33,spradley,188.0,1.1100000000000000,0
12028,1.02,94.33,3035,2.41,biggerstaff,189.0,1.12,0
116681,0.68,95.06,6152,1.66,salyers,189.0,0.86,0
147783,25.11,68.87,3142,1.97,yarber,189.0,0.73,0
88154,9.17,86.36,3709,2.05,meadors,190.0,0.9200000000000000,0
115458,0.49,69.26,3282,28.18,rutz,190.0,0.94,0
132099,1.82,86.64,3459,6.53,tague,190.0,3.47,0
27683,7.2,87.0,3193,1.35,creekmore,191.0,2.41,0
794,8.54,86.55,3196,1.91,adkison,191.0,1.09,0
101535,2.48,93.08,8296,1.76,partin,191.0,1.03,0
70134,0.0,97.45,4398,1.32,knepp,192.0,0.25,0
87176,8.34,86.9,3787,1.93,mcgaha,193.0,1.1400000000000000,0
81055,0.0,95.92,3607,1.97,luedtke,193.0,0.47,0
108929,23.14,71.6,3246,2.19,railey,194.0,0.95,0
65104,16.02,79.43,3320,2.47,jowers,194.0,0.6,0
19383,0.15,98.19,13230,0.76,byler,194.0,0.31000000000000000,0
77366,1.01,94.3,4670,1.91,lemley,194.0,1.27,0
25053,3.11,91.93,3444,1.89,clemmer,196.0,1.1,0
59477,0.27,96.65,4086,1.44,hockenberry,196.0,0.56,0
18433,1.64,94.35,4264,1.69,bumgardner,196.0,0.7,0
123129,2.14,93.15,3227,2.01,shoaf,196.0,1.0900000000000000,0
9478,1.81,94.34,5516,1.96,beckner,197.0,0.72,0
110296,0.81,96.95,3471,1.21,recker,197.0,0.0,0
38850,2.07,90.51,4110,3.72,elledge,197.0,1.36,0
130273,4.94,90.1,4778,2.37,stultz,197.0,0.9300000000000000,0
136838,0.49,93.37,3032,2.61,troxel,199.0,1.5500000000000000,0
134738,0.59,95.9,3563,0.81,tincher,199.0,1.2,0
23807,1.37,92.36,3140,2.83,chilson,200.0,1.43,0
75785,0.14,95.92,4284,2.43,laskowski,201.0,0.79,0
73254,0.17,95.58,7055,1.49,kuhns,202.0,1.24,0
122251,0.51,95.86,5121,1.43,shaner,202.0,0.9000000000000000,0
5887,17.96,78.49,3464,1.79,averett,202.0,0.6400000000000000,0
68617,7.89,87.32,4992,1.66,kight,203.0,1.06,0
31858,0.0,93.46,3762,4.33,delucia,204.0,0.53,0
144987,1.44,94.05,7482,2.09,whited,204.0,0.9400000000000000,0
107043,30.28,65.32,5591,1.32,pridgen,205.0,0.9000000000000000,0
45819,43.78,50.05,3237,2.69,furlow,205.0,0.96,0
99970,11.84,83.9,6311,2.04,overby,206.0,0.78,0
73273,0.0,96.61,3039,1.41,kujawa,206.0,0.43,0
108489,6.96,86.45,4112,1.92,rabon,206.0,2.9000000000000000,0
88380,41.74,53.15,3347,2.6,meekins,206.0,0.5700000000000000,0
57632,0.32,95.09,5963,2.2,hendershot,206.0,0.98,0
30919,0.44,93.09,3848,3.53,defelice,206.0,1.58,0
32511,11.66,82.27,4287,2.26,depriest,207.0,1.54,0
112925,1.47,91.52,3667,3.55,robinett,207.0,1.6600000000000000,0
107979,12.6,82.23,7677,1.89,pyles,208.0,1.06,0
37955,3.03,93.15,3036,1.55,edenfield,208.0,0.8600000000000000,0
147247,0.0,97.24,4493,1.29,wrobel,208.0,0.42,0
21356,0.46,91.17,3070,4.76,carreiro,209.0,1.21,0
55312,5.02,90.83,3030,1.68,hanshaw,209.0,0.73,0
93125,0.35,95.68,8226,1.52,mowery,210.0,0.96,0
112194,1.33,94.44,3078,2.01,riffe,211.0,0.75,0
994,16.33,78.6,4519,1.84,acree,212.0,1.09,0
61639,2.02,92.52,9317,2.03,hulsey,212.0,1.52,0
72008,0.16,96.49,3194,1.88,koziol,213.0,0.6200000000000000,0
98630,3.42,91.54,5732,1.74,olinger,213.0,1.1,0
86329,6.79,88.89,4049,1.31,mcabee,213.0,0.69,0
56846,34.11,57.05,3327,1.47,hedgepeth,214.0,4.36,0
72777,0.43,95.16,3759,1.92,krouse,214.0,1.3600000000000000,0
133678,0.31,94.45,3187,1.69,testerman,215.0,1.94,0
56291,0.32,95.11,4699,2.02,haught,216.0,1.04,0
119391,0.0,98.19,4314,0.93,schmucker,216.0,0.3,0
122633,0.36,95.9,3076,1.46,shellenberger,217.0,0.8400000000000000,0
68794,0.45,93.85,6016,2.74,kimbrell,217.0,0.95,0
12602,0.72,94.67,3753,2.18,bitner,218.0,0.98,0
136839,0.48,94.56,4780,1.49,troxell,218.0,1.46,0
26488,0.63,95.62,4113,1.73,copenhaver,218.0,0.81,0
100892,0.0,95.51,3032,2.57,panek,219.0,0.73,0
58833,5.25,88.94,3962,3.05,hiles,219.0,1.26,0
125334,0.0,94.83,3502,2.94,slusser,219.0,0.6,0
123358,0.31,95.95,3904,1.61,shroyer,219.0,1.07,0
2353,0.19,95.86,3094,1.75,albaugh,219.0,1.09,0
2794,6.28,88.11,3456,1.77,alverson,222.0,1.6800000000000000,0
30491,4.8,89.96,5539,2.62,deason,223.0,1.1100000000000000,0
55965,12.99,81.93,4157,1.83,harville,223.0,1.21,0
60369,2.78,92.61,5617,1.74,honaker,223.0,0.87,0
98160,25.33,69.99,3182,2.26,ogburn,223.0,0.79,0
47766,0.24,95.9,3367,2.32,gebhart,223.0,0.6,0
127813,33.28,58.73,3438,2.33,standifer,224.0,3.1400000000000000,0
61283,0.8,93.86,3113,2.79,hubler,224.0,1.03,0
33140,6.93,88.12,3476,1.73,devault,224.0,1.18,0
117788,37.22,56.22,5057,2.47,satterwhite,224.0,1.17,0
51841,0.98,95.08,3967,1.51,graybill,225.0,0.75,0
102787,1.28,94.19,4203,1.86,pendley,225.0,0.8800000000000000,0
79331,0.0,96.43,4935,1.44,livengood,226.0,0.36,0
80735,6.13,87.69,3557,2.67,lowrance,227.0,1.38,0
13292,0.17,96.52,4167,1.1,blosser,228.0,0.77,0
12626,14.71,80.09,3284,1.49,bittle,228.0,2.01,0
76913,0.3,95.06,3684,2.52,lefler,229.0,0.87,0
60005,28.24,67.79,4104,2.0,holifield,230.0,0.66,0
86530,7.82,87.21,4106,1.56,mccarley,230.0,1.15,0
71183,27.94,67.31,5870,1.91,koonce,230.0,0.66,0
56467,0.19,95.78,3102,1.32,hawkinson,230.0,1.0,0
145574,41.41,53.9,4069,1.84,wilcher,231.0,0.8600000000000000,0
61067,1.51,93.22,3039,2.7,hower,232.0,1.08,0
125641,0.39,94.21,3607,2.69,snavely,232.0,0.97,0
42508,0.45,96.11,3316,1.54,fessler,232.0,0.8700000000000000,0
147250,0.24,96.11,4570,1.77,wroblewski,233.0,0.86,0
143073,1.49,94.42,3350,1.7,wamsley,234.0,0.81,0
68853,19.39,73.39,3033,2.7,kincade,234.0,1.64,0
132154,0.0,95.73,3135,2.58,takacs,235.0,0.45,0
88366,0.5,95.46,3016,1.86,meece,235.0,0.76,0
55558,16.37,78.62,5876,2.01,hargett,236.0,1.07,0
269,5.95,87.94,5010,2.36,ables,236.0,1.72,0
69368,28.29,66.64,4140,1.84,kittrell,236.0,1.18,0
96806,4.81,90.07,3183,2.86,noles,237.0,0.8400000000000000,0
129538,1.21,94.0,3067,1.57,stough,237.0,1.33,0
123429,0.7,95.03,4146,2.0,shults,237.0,0.75,0
138451,19.38,74.56,5036,2.96,ussery,238.0,1.04,0
16247,11.04,83.12,3868,2.64,brazell,238.0,1.0900000000000000,0
27092,9.51,85.72,4005,2.27,cothran,239.0,0.97,0
117842,22.5,73.04,6490,1.96,sauls,239.0,0.8,0
100094,0.29,94.33,3493,2.43,oyler,239.0,1.37,0
86144,11.75,74.73,4773,1.13,mayle,239.0,2.83,0
13999,2.75,91.89,3021,2.25,boice,240.0,1.6600000000000000,0
42408,1.5,92.61,3004,3.36,ferree,240.0,1.4,0
123989,0.19,95.48,3205,1.28,silcox,240.0,1.4300000000000000,0
32438,0.0,95.87,3290,2.86,depasquale,240.0,0.52,0
23003,4.49,91.8,3318,1.99,channell,240.0,0.75,0
78934,0.48,96.32,3102,1.16,linkous,241.0,0.58,0
67462,0.43,94.93,3493,2.0,keffer,241.0,1.03,0
132742,5.82,89.48,3507,1.85,tarter,241.0,1.51,0
81040,0.34,96.4,3579,1.76,lueck,242.0,0.72,0
