,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
123324,0.0,95.2,1228,2.36,shreffler,25.0,0.73,0
92675,5.21,87.66,1402,4.35,morphis,25.0,0.0,0
32479,0.0,95.11,1105,2.44,depinto,25.0,1.27,0
55657,0.0,95.3,1063,1.69,harmeyer,25.0,0.66,0
57834,0.31,93.03,1938,2.27,henslee,25.0,2.12,0
18204,3.87,93.17,1084,1.38,buffkin,25.0,0.0,0
129948,15.91,78.23,1502,2.93,stroble,25.0,1.5300000000000000,0
19195,0.41,96.28,1695,1.36,buterbaugh,25.0,0.0,0
35822,0.87,94.26,1150,1.83,downen,25.0,0.0,0
31401,6.68,87.51,1033,2.61,delapp,26.0,0.0,0
148524,0.0,97.67,1759,0.91,yutzy,26.0,0.0,0
113732,0.0,95.02,1788,2.01,romines,26.0,0.45,0
39947,0.43,94.92,1161,2.15,escue,26.0,0.0,0
107656,0.89,94.38,1014,3.35,pulice,26.0,0.0,0
95184,26.35,70.46,1689,1.01,nealey,26.0,0.0,0
26715,2.35,92.31,1236,3.07,corle,26.0,1.8600000000000000,0
139825,0.0,93.89,2650,3.02,vantassel,26.0,0.75,0
127712,0.4,96.7,1486,0.4,stalvey,26.0,1.28,0
14991,0.48,95.17,1655,2.6,bosarge,26.0,0.84,0
76871,12.05,81.8,1203,4.74,leeth,26.0,0.0,0
137761,5.49,91.43,1202,1.16,tysinger,26.0,0.9200000000000000,0
143601,0.46,96.48,1534,1.69,waybright,27.0,0.0,0
2704,0.0,97.57,1029,0.78,altland,27.0,0.49,0
130025,0.55,95.26,1815,1.54,strope,27.0,0.89,0
23463,0.0,95.07,2172,1.8,cheramie,27.0,1.98,0
23231,2.35,90.4,1021,1.47,chattin,27.0,4.41,0
27628,0.68,95.41,1461,0.89,craycraft,27.0,1.03,0
25280,0.99,94.78,1112,1.98,clukey,27.0,0.0,0
127218,0.0,95.25,1264,1.11,sponseller,27.0,1.11,0
127219,0.0,96.78,1024,1.27,sponsler,27.0,0.0,0
