,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
98166,0.0,8.45,213,88.73,ogeda,7.0,0.0,0
117282,2.45,10.09,327,86.85,santellana,7.0,0.0,0
117489,0.0,24.81,133,58.65,sarasua,7.0,15.04,0
117492,0.0,5.96,520,89.81,sarate,7.0,3.65,0
117047,0.0,4.21,712,88.06,sandobal,7.0,3.93,0
108373,0.0,4.29,746,94.37,quiroa,7.0,0.0,0
115589,0.0,49.78,223,50.22,rymers,7.0,0.0,0
38736,0.0,0.0,161,96.89,elguea,7.0,0.0,0
31484,0.42,3.4,5933,95.63,delcid,7.0,0.32,0
99453,0.0,0.0,183,97.27,ortolaza,7.0,0.0,0
98656,0.0,9.84,122,87.7,oliverez,7.0,0.0,0
4368,0.0,11.22,1043,87.54,arebalo,7.0,0.77,0
4089,0.0,5.15,291,80.41,arbizo,7.0,11.34,0
74970,0.0,4.55,154,95.45,lancheros,7.0,0.0,0
75075,0.0,14.52,124,83.87,landrian,7.0,0.0,0
96611,0.0,3.55,197,95.94,nivelo,7.0,0.0,0
436,0.0,10.82,268,87.31,abitia,7.0,0.0,0
150061,0.0,0.0,318,98.74,zometa,7.0,0.0,0
28763,0.0,15.38,117,84.62,curras,7.0,0.0,0
110032,0.0,6.25,144,91.67,raygosa,7.0,0.0,0
1764,0.0,11.62,327,79.2,alcarez,7.0,5.81,0
2031,0.0,11.0,209,88.04,alirez,7.0,0.0,0
35121,0.0,2.44,328,96.65,domiguez,7.0,0.0,0
37802,0.0,10.81,111,88.29,echeagaray,7.0,0.0,0
111013,0.0,5.42,166,89.16,remijio,7.0,3.01,0
103421,0.0,4.05,173,95.38,perusquia,7.0,0.0,0
1206,0.0,12.69,331,86.71,agueros,7.0,0.0,0
111529,0.0,0.0,144,95.83,revollar,7.0,0.0,0
1184,0.0,10.8,287,88.5,agront,7.0,0.0,0
2807,0.0,0.0,124,99.19,alvirde,7.0,0.0,0
2815,0.0,7.38,122,92.62,alvizu,7.0,0.0,0
147525,0.0,0.0,115,85.22,xuncax,7.0,10.43,0
147495,0.0,0.0,227,98.24,xelhua,7.0,0.0,0
2790,1.66,7.24,843,88.85,alverio,7.0,1.78,0
33188,0.0,7.64,157,78.98,devicente,7.0,9.55,0
113175,0.0,3.49,258,94.57,rodrguez,7.0,0.0,0
33640,0.0,4.07,393,95.67,dicochea,7.0,0.0,0
114141,0.0,2.84,739,95.94,rosiles,7.0,0.68,0
100753,0.0,6.37,455,92.53,palomarez,7.0,0.0,0
147908,0.0,29.99,687,67.83,ybarbo,7.0,0.0,0
149221,0.0,2.21,362,96.96,zecena,7.0,0.0,0
5857,0.0,5.51,127,90.55,avela,7.0,0.0,0
121329,0.0,11.38,369,87.26,selvera,7.0,0.0,0
26600,0.0,0.0,124,99.19,corcio,7.0,0.0,0
40228,7.69,0.0,143,89.51,estrado,7.0,0.0,0
106375,0.0,5.19,135,92.59,portobanco,7.0,0.0,0
26000,0.0,27.48,131,72.52,comesana,7.0,0.0,0
76432,0.0,9.22,141,87.23,layva,7.0,0.0,0
26068,0.0,2.11,473,96.83,compres,7.0,0.0,0
51436,0.0,1.55,581,97.76,gradilla,7.0,0.0,0
106311,0.0,7.14,224,91.52,porraz,7.0,0.0,0
25940,0.0,4.41,136,95.59,columbie,7.0,0.0,0
26267,0.0,8.5,153,91.5,conrique,7.0,0.0,0
93700,0.0,6.71,283,92.23,mungarro,7.0,0.0,0
51043,0.0,4.46,224,93.75,gortarez,7.0,0.0,0
105790,0.0,5.47,457,92.56,polendo,7.0,1.31,0
121676,0.0,4.24,1013,93.68,sermeno,7.0,1.18,0
116,0.0,10.6,302,72.52,abasta,7.0,15.23,0
95471,0.0,4.83,145,93.1,nejia,7.0,0.0,0
8634,0.53,10.28,2442,87.1,basquez,8.0,1.52,0
115000,0.0,3.99,326,95.71,rugerio,8.0,0.0,0
135851,0.0,16.89,148,80.41,touar,8.0,0.0,0
135692,0.0,4.26,141,95.04,torrales,8.0,0.0,0
62296,0.0,4.44,248,95.56,ibarria,8.0,0.0,0
22355,0.0,14.76,210,85.24,ceciliano,8.0,0.0,0
109569,0.0,5.75,661,93.34,rapalo,8.0,0.0,0
62516,0.0,6.57,335,91.64,ilarraza,8.0,0.0,0
6362,0.0,11.55,554,86.1,bachicha,8.0,0.0,0
819,0.0,6.15,179,90.5,adrianzen,8.0,0.0,0
104705,0.0,12.88,132,87.12,pineira,8.0,0.0,0
91485,0.0,5.49,164,94.51,mogollan,8.0,0.0,0
2780,0.0,12.27,163,77.91,alvarino,8.0,8.59,0
109177,1.1,11.19,545,82.2,ramero,8.0,4.220000000000000,0
2808,0.0,9.42,138,83.33,alvirez,8.0,4.35,0
33129,0.0,20.07,588,78.23,devargas,8.0,0.0,0
114152,0.0,6.67,240,89.58,rositas,8.0,0.0,0
104577,0.0,3.68,136,96.32,pilco,8.0,0.0,0
896,0.0,8.79,273,90.11,agado,8.0,0.0,0
100786,0.0,3.55,141,95.74,palucho,8.0,0.0,0
38214,5.6,0.0,125,91.2,egure,8.0,0.0,0
103061,5.69,39.84,123,51.22,pereles,8.0,0.0,0
148966,0.0,10.57,123,86.99,zapiain,8.0,0.0,0
111291,0.0,1.79,446,97.09,requeno,8.0,0.0,0
84389,0.0,0.0,131,81.68,marero,8.0,12.98,0
23274,0.0,2.22,2341,97.57,chavarin,8.0,0.0,0
102934,0.0,4.76,399,90.73,penuela,8.0,4.01,0
106380,0.0,0.0,540,97.96,portorreal,8.0,0.0,0
61572,0.0,4.94,162,92.59,huitz,8.0,0.0,0
92467,0.0,3.6,417,92.81,moreles,8.0,1.92,0
53689,0.0,3.94,355,89.01,gurrero,8.0,4.79,0
6028,3.88,6.59,258,89.15,ayalla,8.0,0.0,0
83641,0.0,0.0,157,98.09,mangandi,8.0,0.0,0
61423,0.0,0.0,328,99.39,huertero,8.0,0.0,0
110988,0.0,4.88,123,95.12,rembao,8.0,0.0,0
111811,0.0,3.82,497,95.37,ricardez,8.0,0.0,0
76439,2.1,9.24,238,81.93,lazano,8.0,5.46,0
132773,0.0,7.82,243,91.77,tascon,8.0,0.0,0
